hospital_id,name,city,state,lat,lon,item_code,quantity,price
1,Hospital_1,Pune,Maharashtra,24.636221,87.515444,MED_OXY_CYL,37,4830
1,Hospital_1,Pune,Maharashtra,24.636221,87.515444,MED_VENT,8,68662
1,Hospital_1,Pune,Maharashtra,24.636221,87.515444,MED_MASK,89,495
1,Hospital_1,Pune,Maharashtra,24.636221,87.515444,MED_PPE,23,653
2,Hospital_2,Mumbai,Delhi,10.955739,84.154761,MED_OXY_CYL,14,7386
2,Hospital_2,Mumbai,Delhi,10.955739,84.154761,MED_VENT,2,54097
2,Hospital_2,Mumbai,Delhi,10.955739,84.154761,MED_MASK,15,741
2,Hospital_2,Mumbai,Delhi,10.955739,84.154761,MED_PPE,55,656
3,Hospital_3,Mumbai,Maharashtra,25.26848,81.742167,MED_OXY_CYL,37,6113
3,Hospital_3,Mumbai,Maharashtra,25.26848,81.742167,MED_VENT,5,43477
3,Hospital_3,Mumbai,Maharashtra,25.26848,81.742167,MED_MASK,35,370
3,Hospital_3,Mumbai,Maharashtra,25.26848,81.742167,MED_PPE,8,474
4,Hospital_4,Kolkata,Karnataka,36.205241,74.818224,MED_OXY_CYL,10,6737
4,Hospital_4,Kolkata,Karnataka,36.205241,74.818224,MED_VENT,10,74838
4,Hospital_4,Kolkata,Karnataka,36.205241,74.818224,MED_MASK,62,799
4,Hospital_4,Kolkata,Karnataka,36.205241,74.818224,MED_PPE,73,730
5,Hospital_5,Chennai,Delhi,29.152982,77.148371,MED_OXY_CYL,41,5550
5,Hospital_5,Chennai,Delhi,29.152982,77.148371,MED_VENT,7,64808
5,Hospital_5,Chennai,Delhi,29.152982,77.148371,MED_MASK,20,598
5,Hospital_5,Chennai,Delhi,29.152982,77.148371,MED_PPE,77,327
6,Hospital_6,Chennai,Delhi,15.848907,80.19229,MED_OXY_CYL,5,6626
6,Hospital_6,Chennai,Delhi,15.848907,80.19229,MED_VENT,1,72647
6,Hospital_6,Chennai,Delhi,15.848907,80.19229,MED_MASK,59,400
6,Hospital_6,Chennai,Delhi,15.848907,80.19229,MED_PPE,21,297
7,Hospital_7,Pune,Telangana,13.571135,87.215814,MED_OXY_CYL,45,7027
7,Hospital_7,Pune,Telangana,13.571135,87.215814,MED_VENT,0,63084
7,Hospital_7,Pune,Telangana,13.571135,87.215814,MED_MASK,17,608
7,Hospital_7,Pune,Telangana,13.571135,87.215814,MED_PPE,82,868
8,Hospital_8,Bangalore,West Bengal,20.772422,89.861964,MED_OXY_CYL,18,4899
8,Hospital_8,Bangalore,West Bengal,20.772422,89.861964,MED_VENT,1,74964
8,Hospital_8,Bangalore,West Bengal,20.772422,89.861964,MED_MASK,20,382
8,Hospital_8,Bangalore,West Bengal,20.772422,89.861964,MED_PPE,41,937
9,Hospital_9,Delhi,West Bengal,12.024046,95.953367,MED_OXY_CYL,3,7619
9,Hospital_9,Delhi,West Bengal,12.024046,95.953367,MED_VENT,6,57231
9,Hospital_9,Delhi,West Bengal,12.024046,95.953367,MED_MASK,68,872
9,Hospital_9,Delhi,West Bengal,12.024046,95.953367,MED_PPE,92,745
10,Hospital_10,Bangalore,West Bengal,24.860942,71.133677,MED_OXY_CYL,14,5846
10,Hospital_10,Bangalore,West Bengal,24.860942,71.133677,MED_VENT,0,20223
10,Hospital_10,Bangalore,West Bengal,24.860942,71.133677,MED_MASK,2,768
10,Hospital_10,Bangalore,West Bengal,24.860942,71.133677,MED_PPE,72,340
11,Hospital_11,Kolkata,West Bengal,19.449216,72.373058,MED_OXY_CYL,33,5502
11,Hospital_11,Kolkata,West Bengal,19.449216,72.373058,MED_VENT,4,79900
11,Hospital_11,Kolkata,West Bengal,19.449216,72.373058,MED_MASK,9,670
11,Hospital_11,Kolkata,West Bengal,19.449216,72.373058,MED_PPE,42,562
12,Hospital_12,Bangalore,West Bengal,32.608218,86.749369,MED_OXY_CYL,23,5031
12,Hospital_12,Bangalore,West Bengal,32.608218,86.749369,MED_VENT,3,77090
12,Hospital_12,Bangalore,West Bengal,32.608218,86.749369,MED_MASK,25,730
12,Hospital_12,Bangalore,West Bengal,32.608218,86.749369,MED_PPE,61,740
13,Hospital_13,Bangalore,Tamil Nadu,22.18539,95.043516,MED_OXY_CYL,46,5836
13,Hospital_13,Bangalore,Tamil Nadu,22.18539,95.043516,MED_VENT,6,20734
13,Hospital_13,Bangalore,Tamil Nadu,22.18539,95.043516,MED_MASK,1,529
13,Hospital_13,Bangalore,Tamil Nadu,22.18539,95.043516,MED_PPE,29,423
14,Hospital_14,Hyderabad,Delhi,22.177973,75.292335,MED_OXY_CYL,12,6237
14,Hospital_14,Hyderabad,Delhi,22.177973,75.292335,MED_VENT,2,20540
14,Hospital_14,Hyderabad,Delhi,22.177973,75.292335,MED_MASK,69,136
14,Hospital_14,Hyderabad,Delhi,22.177973,75.292335,MED_PPE,24,904
15,Hospital_15,Delhi,Telangana,21.987674,85.627122,MED_OXY_CYL,12,7000
15,Hospital_15,Delhi,Telangana,21.987674,85.627122,MED_VENT,8,52911
15,Hospital_15,Delhi,Telangana,21.987674,85.627122,MED_MASK,17,265
15,Hospital_15,Delhi,Telangana,21.987674,85.627122,MED_PPE,28,536
16,Hospital_16,Bangalore,West Bengal,32.903029,83.118121,MED_OXY_CYL,46,7338
16,Hospital_16,Bangalore,West Bengal,32.903029,83.118121,MED_VENT,1,39745
16,Hospital_16,Bangalore,West Bengal,32.903029,83.118121,MED_MASK,37,134
16,Hospital_16,Bangalore,West Bengal,32.903029,83.118121,MED_PPE,19,335
17,Hospital_17,Bangalore,Karnataka,19.210246,72.373054,MED_OXY_CYL,14,7395
17,Hospital_17,Bangalore,Karnataka,19.210246,72.373054,MED_VENT,8,20874
17,Hospital_17,Bangalore,Karnataka,19.210246,72.373054,MED_MASK,32,473
17,Hospital_17,Bangalore,Karnataka,19.210246,72.373054,MED_PPE,42,841
18,Hospital_18,Chennai,Delhi,20.157946,85.066678,MED_OXY_CYL,10,7994
18,Hospital_18,Chennai,Delhi,20.157946,85.066678,MED_VENT,8,43020
18,Hospital_18,Chennai,Delhi,20.157946,85.066678,MED_MASK,21,856
18,Hospital_18,Chennai,Delhi,20.157946,85.066678,MED_PPE,94,154
19,Hospital_19,Pune,West Bengal,13.260083,70.09107,MED_OXY_CYL,42,4879
19,Hospital_19,Pune,West Bengal,13.260083,70.09107,MED_VENT,10,27868
19,Hospital_19,Pune,West Bengal,13.260083,70.09107,MED_MASK,2,310
19,Hospital_19,Pune,West Bengal,13.260083,70.09107,MED_PPE,82,507
20,Hospital_20,Mumbai,Delhi,21.795163,84.9295,MED_OXY_CYL,22,7786
20,Hospital_20,Mumbai,Delhi,21.795163,84.9295,MED_VENT,3,20693
20,Hospital_20,Mumbai,Delhi,21.795163,84.9295,MED_MASK,100,561
20,Hospital_20,Mumbai,Delhi,21.795163,84.9295,MED_PPE,32,728
21,Hospital_21,Chennai,Tamil Nadu,28.16528,90.813073,MED_OXY_CYL,33,7517
21,Hospital_21,Chennai,Tamil Nadu,28.16528,90.813073,MED_VENT,10,62206
21,Hospital_21,Chennai,Tamil Nadu,28.16528,90.813073,MED_MASK,91,401
21,Hospital_21,Chennai,Tamil Nadu,28.16528,90.813073,MED_PPE,99,622
22,Hospital_22,Kolkata,Telangana,20.523528,93.681994,MED_OXY_CYL,3,4332
22,Hospital_22,Kolkata,Telangana,20.523528,93.681994,MED_VENT,3,29082
22,Hospital_22,Kolkata,Telangana,20.523528,93.681994,MED_MASK,85,165
22,Hospital_22,Kolkata,Telangana,20.523528,93.681994,MED_PPE,56,109
23,Hospital_23,Mumbai,Delhi,9.581774,71.333913,MED_OXY_CYL,13,4275
23,Hospital_23,Mumbai,Delhi,9.581774,71.333913,MED_VENT,8,66323
23,Hospital_23,Mumbai,Delhi,9.581774,71.333913,MED_MASK,27,522
